Categoria,Nombre,Precio,Descripcion,imagen,destacado
Budín,BUDÍN GRANDE (26 cm),6500,750 g,,
Budín,BUDÍN MEDIANO (20 cm),4500,500 g,,
Budín,BUDÍN CHICO (molde aluminio),3500,350 g,,
Base,BASE Vainilla,0,Agregado,,
Base,BASE Marmolado,0,Agregado,,
Base,BASE Chocolate,0,Agregado,,
Base,BASE Naranja,0,Agregado,,
Base,BASE Limón,0,Agregado,,
Base,BASE Café,0,Agregado,,
Agregado,Nueces,0,Agregado,,
Agregado,Chips de chocolate,0,Agregado,,
Agregado,Chips de dulce de leche,0,Agregado,,
Agregado,Baño de chocolate blanco y negro,0,Agregado,,
Agregado,Baño de dulce de leche,0,Agregado,,
Agregado,Crocante de almendra,0,Agregado,,
Agregado,Crocante de maní,0,Agregado,,
Agregado,Crocante de maní con chocolate,0,Agregado,,
Agregado,Mix de frutos secos o glacé,0,Agregado,,
Regla,REGLA 1 agregado,0,Se mantiene el precio base,,
Regla,REGLA 2 o más agregados,0,El precio aumenta,,
